step time minX maxX minY maxY width height area
274 2.7400 0.3774 19.4045 0.1613 14.8008 19.0271 14.6395 278.5469
275 2.7500 0.3767 19.4037 0.1663 14.7985 19.0270 14.6323 278.4082
276 2.7600 0.3761 19.4028 0.1712 14.7961 19.0267 14.6249 278.2635
277 2.7700 0.3757 19.4018 0.1762 14.7936 19.0261 14.6174 278.1128
278 2.7800 0.3755 19.4008 0.1811 14.7909 19.0254 14.6098 277.9562
279 2.7900 0.3754 19.3998 0.1861 14.7881 19.0244 14.6020 277.7938
280 2.8000 0.3755 19.3987 0.1911 14.7852 19.0232 14.5940 277.6256
281 2.8100 0.3757 19.3975 0.1962 14.7822 19.0218 14.5860 277.4518
282 2.8200 0.3761 19.3963 0.2012 14.7790 19.0202 14.5778 277.2725
283 2.8300 0.3767 19.3950 0.2063 14.7758 19.0183 14.5695 277.0878
284 2.8400 0.3774 19.3936 0.2114 14.7725 19.0162 14.5612 276.8977
285 2.8500 0.3783 19.3922 0.2165 14.7691 19.0138 14.5527 276.7026
286 2.8600 0.3794 19.3907 0.2216 14.7657 19.0113 14.5441 276.5024
287 2.8700 0.3806 19.3891 0.2267 14.7622 19.0085 14.5355 276.2974
288 2.8800 0.3820 19.3875 0.2319 14.7586 19.0054 14.5268 276.0878
289 2.8900 0.3836 19.3857 0.2370 14.7550 19.0022 14.5180 275.8737
290 2.9000 0.3853 19.3840 0.2422 14.7514 18.9986 14.5092 275.6552
291 2.9100 0.3872 19.3821 0.2474 14.7477 18.9949 14.5003 275.4325
292 2.9200 0.3893 19.3802 0.2526 14.7441 18.9909 14.4915 275.2057
293 2.9300 0.3915 19.3782 0.2579 14.7404 18.9867 14.4825 274.9749
294 2.9400 0.3939 19.3761 0.2631 14.7367 18.9822 14.4736 274.7403
295 2.9500 0.3965 19.3739 0.2684 14.7330 18.9774 14.4646 274.5019
296 2.9600 0.3992 19.3717 0.2737 14.7294 18.9725 14.4557 274.2598
297 2.9700 0.4021 19.3693 0.2790 14.7257 18.9672 14.4467 274.0138
298 2.9800 0.4052 19.3669 0.2843 14.7220 18.9618 14.4377 273.7641
299 2.9900 0.4084 19.3645 0.2897 14.7183 18.9561 14.4287 273.5106
300 3.0000 0.4118 19.3619 0.2950 14.7147 18.9501 14.4196 273.2532
301 3.0100 0.4154 19.3593 0.3004 14.7110 18.9439 14.4105 272.9918
302 3.0200 0.4191 19.3565 0.3058 14.7073 18.9374 14.4014 272.7263
303 3.0300 0.4230 19.3537 0.3113 14.7035 18.9307 14.3923 272.4566
304 3.0400 0.4271 19.3509 0.3167 14.6998 18.9238 14.3831 272.1826
305 3.0500 0.4313 19.3479 0.3222 14.6960 18.9166 14.3739 271.9041
306 3.0600 0.4357 19.3448 0.3276 14.6922 18.9091 14.3645 271.6211
307 3.0700 0.4403 19.3417 0.3331 14.6883 18.9014 14.3552 271.3334
308 3.0800 0.4450 19.3385 0.3387 14.6844 18.8935 14.3457 271.0408
309 3.0900 0.4435 19.3352 0.3442 14.6804 18.8917 14.3362 270.8345
310 3.1000 0.4403 19.3318 0.3498 14.6763 18.8915 14.3266 270.6508
311 3.1100 0.4371 19.3283 0.3553 14.6722 18.8912 14.3169 270.4630
312 3.1200 0.4341 19.3248 0.3609 14.6680 18.8907 14.3071 270.2709
313 3.1300 0.4311 19.3211 0.3666 14.6637 18.8901 14.2972 270.0745
314 3.1400 0.4282 19.3174 0.3722 14.6594 18.8892 14.2872 269.8737
315 3.1500 0.4254 19.3136 0.3779 14.6549 18.8882 14.2771 269.6685
316 3.1600 0.4226 19.3097 0.3835 14.6504 18.8871 14.2668 269.4588
317 3.1700 0.4200 19.3057 0.3892 14.6457 18.8858 14.2565 269.2446
318 3.1800 0.4174 19.3017 0.3950 14.6410 18.8843 14.2460 269.0259
319 3.1900 0.4149 19.2975 0.4007 14.6362 18.8826 14.2355 268.8025
320 3.2000 0.4125 19.2933 0.4065 14.6312 18.8808 14.2248 268.5745
321 3.2100 0.4102 19.2889 0.4123 14.6262 18.8788 14.2140 268.3419
322 3.2200 0.4079 19.2845 0.4181 14.6211 18.8766 14.2030 268.1045
